severity,type,slug,entryId,titleZh,cueId,time,en,zh,details
medium,near_duplicate_previous_zh_cue,activation-profiles,1_hchvg5wh,啟動設定檔,9,00:00:40.130 --> 00:00:44.030,l-pars as well as information about the operating systems that we want to,LPAR，以及我們想在其上執行的作業系統資訊。,Similar to previous cue 8
medium,long_zh_cue,activation-profiles,1_hchvg5wh,啟動設定檔,23,00:01:55.470 --> 00:01:59.990,licensed internal code will be loaded and how much central and expanded,如何載入 licensed internal code，以及分配多少中央與擴充,ZH length 36; 8.0 chars/sec
medium,near_duplicate_previous_zh_cue,computer-architecture,1_vb8qf96d,電腦架構,8,00:00:20.820 --> 00:00:22.300,"lots of different kinds of computers,",也有很多不同種類的電腦，,Similar to previous cue 7
medium,long_zh_cue,computer-architecture,1_vb8qf96d,電腦架構,99,00:03:57.420 --> 00:03:58.660,And you're not going to change it,除非有問題需要修正，否則你不會改變它，,ZH length 19; 15.3 chars/sec
medium,near_duplicate_previous_zh_cue,computer-architecture,1_vb8qf96d,電腦架構,173,00:06:40.540 --> 00:06:42.780,a supercomputer is a type of computer.,超級電腦也是一種電腦。,Similar to previous cue 172
medium,long_zh_cue,computer-architecture,1_vb8qf96d,電腦架構,184,00:07:05.140 --> 00:07:07.300,it has to take quite a journey to get from something,也必須經過相當漫長的過程，從我能描述的東西出發，,ZH length 24; 11.1 chars/sec
medium,long_zh_cue,computer-architecture,1_vb8qf96d,電腦架構,185,00:07:07.300 --> 00:07:08.700,that I can describe to something,到能在 CPU 上以電子方式表示的東西。,ZH length 18; 12.9 chars/sec
medium,long_zh_cue,computer-architecture,1_vb8qf96d,電腦架構,193,00:07:25.580 --> 00:07:26.580,"We've covered a lot here,",我們這裡涵蓋了很多內容，,ZH length 12; 12.0 chars/sec
medium,long_zh_cue,course-introduction,1_ru7q9spi,課程介紹,4,00:00:17.660 --> 00:00:26.540,The mainframe environment is all of IT in one place and a career here will keep you engaged learning and current in all of it,大型主機環境就是將整個 IT 集中在一起，在這裡發展職涯會讓你持續學習並掌握最新技術。,ZH length 41; 4.6 chars/sec
medium,long_zh_cue,course-introduction,1_ru7q9spi,課程介紹,10,00:00:51.260 --> 00:00:55.180,Which is why I'm back with my pal Mackenzie. Hi Mackenzie,這也是為什麼我和夥伴 Mackenzie 再次回來。嗨，Mackenzie。,ZH length 36; 9.2 chars/sec
medium,possibly_merged_zh_cue,course-introduction,1_ru7q9spi,課程介紹,10,00:00:51.260 --> 00:00:55.180,Which is why I'm back with my pal Mackenzie. Hi Mackenzie,這也是為什麼我和夥伴 Mackenzie 再次回來。嗨，Mackenzie。,Chinese cue has multiple sentence endings in a short time window
